name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
C1;0;true;terminated;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C10;0;true;Unexpected "!" at position 0 in state STOP;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C2;0;true;terminated;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C3;0;true;terminated;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C4;0;true;Result hash inconsistency;1;8af2397d5d1d9d53570a80924e90c4b7;125786.33333333333;129462;121789;3140.7360425366674;3;50;50;50;190616.33333333334;224194;150779;196876 224194 150779;60082.666666666664 61933.666666666664 78636.33333333333 78636.33333333333 79104.66666666667 79305.33333333333 79741.33333333333 79856 79927 79927.33333333333 80469.33333333333 80469.33333333333 80648 80648 87318 89091.66666666667 111498.66666666667 111563.33333333333 111990.33333333333 112079.33333333333 112751.33333333333 112751.33333333333 113041.66666666667 113043.66666666667 113106.66666666667 113162 113719.33333333333 113749.66666666667 113965.33333333333 113965.33333333333 122279.66666666667 122610.33333333333 145373.66666666666 145417.66666666666 147585 157793 159609 184089.33333333334 184157.66666666666 184320.66666666666 184343.33333333334 184481.66666666666 184481.66666666666 184841.66666666666 187762 187784 188112 188228 190455.33333333334 190574;76021 79400 91502 91502 91649 91863 92090 92095 92297 92297 92731 92731 92809 92809 98713 100102 127355 127355 127375 127501 129203 129203 129490 129496 129558 129558 130235 130235 130871 130871 135933 135933 164976 165038 165736 175054 175070 218522 218522 218525 218526 218536 218536 218539 220897 220963 220963 221107 224163 224194;51970 52178 67522 67522 67935 67998 68088 68096 68098 68099 68506 68506 68959 68959 77546 81224 89292 89486 90389 90525 90528 90528 90890 90890 90955 91101 91571 91655 91657 91657 98565 99557 122987 123057 124794 128043 133148 143287 143430 143643 143706 143857 143857 144200 150071 150071 150207 150332 150653 150653;11270.712616728762 12378.748087840799 9867.808819028107 9867.808819028107 9729.87599555559 9782.878115474106 9811.10314332129 9803.403524626878 9886.604101847443 9886.205282558565 9892.06444019088 9892.06444019088 9742.440248726189 9742.440248726189 8717.265205709109 8020.888825782063 16174.940336486217 16086.17407036932 15726.331577608584 15705.908534334743 16307.932800395709 16307.932800395709 16266.243334655432 16268.265843523566 16266.904076136376 16202.970530121938 16279.259285633634 16241.97371695393 16458.55510736657 16458.55510736657 16832.798882604824 16366.99421260836 17254.630573333703 17247.862869223987 17033.477644528924 21126.442688409865 18799.175886192457 31043.043196324823 30984.631936207057 30911.233279972654 30884.247779230252 30839.53329017084 30839.53329017084 30743.44975582423 29093.509253210872 29118.571198921603 29106.2429843954 29110.741121906645 30318.187570426366 30351.788755634596;30296.62386398121;"[[76021,79400,91502,91502,91649,91863,92090,92095,92297,92297,92731,92731,92809,92809,98713,100102,117849,117849,118207,118212,118523,118523,118745,118745,118807,118827,119352,119359,119368,119368,132341,132341,164976,165038,165736,175054,175070,190459,190521,190794,190798,191052,191052,191786,192318,192318,193166,193245,196550,196875],[52257,54223,76885,76885,77730,78055,79046,79377,79386,79386,80171,80171,80176,80176,85695,85949,127355,127355,127375,127501,129203,129203,129490,129496,129558,129558,130235,130235,130871,130871,135933,135933,148158,148158,152225,170282,170609,218522,218522,218525,218526,218536,218536,218539,220897,220963,220963,221107,224163,224194],[51970,52178,67522,67522,67935,67998,68088,68096,68098,68099,68506,68506,68959,68959,77546,81224,89292,89486,90389,90525,90528,90528,90890,90890,90955,91101,91571,91655,91657,91657,98565,99557,122987,123057,124794,128043,133148,143287,143430,143643,143706,143857,143857,144200,150071,150071,150207,150332,150653,150653]]"
C5;0;true;Invalid SPARQL endpoint response from http://localhost:3001/sparql (HTTP status 400):\nParse error
Expecting --> } <-- but found --> '' <--;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C5;1;true;Invalid SPARQL endpoint response from http://localhost:3001/sparql (HTTP status 400):\nParse error
Redundant input, expecting EOF but found: ?imdbactor;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C5;2;true;Invalid SPARQL endpoint response from http://localhost:3001/sparql (HTTP status 400):\nParse error
Redundant input, expecting EOF but found: };3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C6;0;true;terminated;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C7;0;true;Invalid SPARQL endpoint response from http://localhost:3001/sparql (HTTP status 400):\nfetch failed;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C8;0;true;Unexpected "A" at position 0 in state STOP;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C9;0;true;terminated;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
S1;0;false;;0;d1afa5f8216473b75de22223d4619df2;29342.666666666668;29725;28932;324.3602249899879;3;90;90;90;14595.666666666666;17204;11609;17204 14974 11609;11599.666666666666 11599.666666666666 11600 11600 11753.666666666666 11753.666666666666 11753.666666666666 12111 12111 12111 12111 12111 12111 12111 12222 12222 12222 12222 12332.333333333334 12332.333333333334 12332.333333333334 12360.333333333334 12360.666666666666 12360.666666666666 12360.666666666666 12543 12543 12543 12819 12819 12819 12819 12840.333333333334 12840.333333333334 12840.333333333334 12991.333333333334 13055 13055 13055 13055 13055 13055 13377.666666666666 13377.666666666666 13380.666666666666 13380.666666666666 13382.333333333334 13382.333333333334 13382.333333333334 13382.333333333334 13421.666666666666 13421.666666666666 13524.333333333334 13524.333333333334 13567.666666666666 13567.666666666666 13567.666666666666 13567.666666666666 13567.666666666666 13567.666666666666 13573.666666666666 13574 13938 13938 13938 13938 13938 13938 13938 14028.333333333334 14053 14053 14053 14100.333333333334 14100.333333333334 14100.333333333334 14102.666666666666 14102.666666666666 14102.666666666666 14102.666666666666 14185.666666666666 14185.666666666666 14185.666666666666 14226.666666666666 14311 14311.333333333334 14311.333333333334 14322.333333333334 14322.333333333334 14322.333333333334;14131 14131 14131 14131 14496 14496 14496 14630 14630 14630 14630 14630 14630 14630 14875 14875 14875 14875 14885 14885 14885 14885 14885 14885 14885 15432 15432 15432 15440 15440 15440 15440 15440 15440 15440 15581 15581 15581 15581 15581 15581 15581 15999 15999 15999 15999 16004 16004 16004 16004 16122 16122 16122 16122 16122 16122 16122 16122 16122 16122 16122 16122 16608 16608 16608 16608 16608 16608 16608 16608 16611 16611 16611 16747 16747 16747 16747 16747 16747 16747 16752 16752 16752 16752 16752 16753 16753 16759 16759 16759;8886 8886 8886 8886 8957 8957 8957 9257 9257 9257 9257 9257 9257 9257 9338 9338 9338 9338 9526 9526 9526 9592 9592 9592 9592 9592 9592 9592 9727 9727 9727 9727 9791 9791 9791 10103 10103 10103 10103 10103 10103 10103 10653 10653 10653 10653 10653 10653 10653 10653 10653 10653 10653 10653 10783 10783 10783 10783 10783 10783 10783 10783 11025 11025 11025 11025 11025 11025 11025 11025 11096 11096 11096 11102 11102 11102 11102 11102 11102 11102 11346 11346 11346 11346 11599 11599 11599 11609 11609 11609;2145.140295852206 2145.140295852206 2145.168680236281 2145.168680236281 2261.613632392196 2261.613632392196 2261.613632392196 2206.2715154758266 2206.2715154758266 2206.2715154758266 2206.2715154758266 2206.2715154758266 2206.2715154758266 2206.2715154758266 2266.3646367402284 2266.3646367402284 2266.3646367402284 2266.3646367402284 2195.1431742725927 2195.1431742725927 2195.1431742725927 2167.7165148812446 2167.754034837799 2167.754034837799 2167.754034837799 2384.5730575234356 2384.5730575234356 2384.5730575234356 2355.9814656882736 2355.9814656882736 2355.9814656882736 2355.9814656882736 2328.010643351004 2328.010643351004 2328.010643351004 2246.3336548449097 2256.579712751136 2256.579712751136 2256.579712751136 2256.579712751136 2256.579712751136 2256.579712751136 2183.71813402941 2183.71813402941 2183.864210267866 2183.864210267866 2185.862809561072 2185.862809561072 2185.862809561072 2185.862809561072 2233.232684299203 2233.232684299203 2241.080146318338 2241.080146318338 2185.7142743023137 2185.7142743023137 2185.7142743023137 2185.7142743023137 2185.7142743023137 2185.7142743023137 2186.362936222824 2186.3999329186477 2285.717830354394 2285.717830354394 2285.717830354394 2285.717830354394 2285.717830354394 2285.717830354394 2285.717830354394 2298.8536756875637 2269.0977648983453 2269.0977648983453 2269.0977648983453 2317.938499807294 2317.938499807294 2317.938499807294 2318.2948235478784 2318.2948235478784 2318.2948235478784 2318.2948235478784 2215.437102595232 2215.437102595232 2215.437102595232 2221.2466969899783 2112.4129962359793 2112.7981972309194 2112.7981972309194 2111.560770825431 2111.560770825431 2111.560770825431;2299.762064987497;"[[14131,14131,14131,14131,14496,14496,14496,14630,14630,14630,14630,14630,14630,14630,14875,14875,14875,14875,14885,14885,14885,14885,14885,14885,14885,15432,15432,15432,15440,15440,15440,15440,15440,15440,15440,15581,15581,15581,15581,15581,15581,15581,15999,15999,15999,15999,16004,16004,16004,16004,16122,16122,16122,16122,16122,16122,16122,16122,16122,16122,16122,16122,16608,16608,16608,16608,16608,16608,16608,16608,16611,16611,16611,16747,16747,16747,16747,16747,16747,16747,16752,16752,16752,16752,16752,16753,16753,16759,16759,16759],[11782,11782,11783,11783,11808,11808,11808,12446,12446,12446,12446,12446,12446,12446,12453,12453,12453,12453,12586,12586,12586,12604,12605,12605,12605,12605,12605,12605,13290,13290,13290,13290,13290,13290,13290,13290,13481,13481,13481,13481,13481,13481,13481,13481,13490,13490,13490,13490,13490,13490,13490,13490,13798,13798,13798,13798,13798,13798,13798,13798,13816,13817,14181,14181,14181,14181,14181,14181,14181,14452,14452,14452,14452,14452,14452,14452,14459,14459,14459,14459,14459,14459,14459,14582,14582,14582,14582,14599,14599,14599],[8886,8886,8886,8886,8957,8957,8957,9257,9257,9257,9257,9257,9257,9257,9338,9338,9338,9338,9526,9526,9526,9592,9592,9592,9592,9592,9592,9592,9727,9727,9727,9727,9791,9791,9791,10103,10103,10103,10103,10103,10103,10103,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10783,10783,10783,10783,10783,10783,10783,10783,11025,11025,11025,11025,11025,11025,11025,11025,11096,11096,11096,11102,11102,11102,11102,11102,11102,11102,11346,11346,11346,11346,11599,11599,11599,11609,11609,11609]]"
S10;0;true;Invalid SPARQL endpoint response from http://localhost:3001/sparql (HTTP status 400):\nfetch failed;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;67569 67569 67569 67641 126180 126180 126180 126195 153227;67569 67569 67569 67641 126180 126180 126180 126195 153227;67569 67569 67569 67641 126180 126180 126180 126195 153227;0 0 0 0 0 0 0 0 0;NaN;"[[67569,67569,67569,67641,126180,126180,126180,126195,153227]]"
S11;0;false;;0;4320469e2bb366e77c04ffa192e23365;36233;36409;36049;147.07821048680188;3;3;3;3;39546.333333333336;85685;9313;85685 23641 9313;39544.666666666664 39545.333333333336 39545.333333333336;85682 85683 85683;9312 9313 9313;33144.26085396317 33144.420810882926 33144.420810882926;33145.18886488488;"[[85682,85683,85683],[23640,23640,23640],[9312,9313,9313]]"
S12;0;true;terminated;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
S13;0;true;Unexpected "A" at position 0 in state STOP;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
